,birthDate,birthPlace,assistences,field_goal_percentage,field_goal_percentage_3_pts,free_throw_percentage,games,player_efficiency_rating,points,total_rebounds,win_shares,effective_field_goal_percentage,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,salary
1186,"August 9, 1973","South Bend, Indiana",1.4,42.9,14.7,69.1,64,10.0,4.5,1.8,0.0,43.9,University of Michigan,35.0,2.0,Toronto Raptors,1995,6-5,"Plano East in Plano, Texas",Jimmy King,Shooting Guard,Right,210lb,315000.0
1187,"February 14, 1957","Birmingham, Alabama",1.6,51.4,0.0,69.9,438,13.1,8.9,6.2,24.8,51.4,University of Alabama,18.0,1.0,Kansas City Kings,1979,6-6,"Jackson-Olin in Birmingham, Alabama",Reggie King,Small Forward and Power Forward,Right,225lb,500000.0
1188,"April 4, 1969","Lincoln, Nebraska",0.3,39.3,0.0,66.2,72,10.2,1.9,1.0,0.2,39.3,University of Nebraska,14.0,1.0,Seattle SuperSonics,1991,7-2,"Harry A. Burke in Omaha, Nebraska",Rich King,Center,Right,260lb,675000.0
1189,"January 29, 1967","Lawton, Oklahoma",0.9,47.8,23.5,70.7,438,11.9,6.4,3.3,10.9,47.9,University of Oklahoma,6.0,1.0,Chicago Bulls,1989,6-11,"Lawton in Lawton, Oklahoma",Stacey King,Power Forward and Center,Left,230lb,1128750.0
1193,"August 5, 1961","Houston, Texas",0.5,43.8,16.7,48.6,680,6.5,2.5,3.8,5.6,43.8,Brigham Young University,21.0,1.0,Boston Celtics,1983,6-11,"James Madison in Houston, Texas",Greg Kite,Center,Right,250lb,539444.44
1194,"June 12, 1974","Dayton, Ohio",2.6,43.9,37.8,78.0,507,16.0,14.1,3.9,44.8,49.3,Villanova University,8.0,1.0,New Jersey Nets,1996,6-5,"Saint Augustine in New Orleans, Louisiana",Kerry Kittles,Shooting Guard,Right,179lb,6175597.0
1196,"January 4, 1962","Colorado Springs, Colorado",0.6,45.3,27.1,79.4,965,10.5,4.8,4.1,19.1,45.4,"University of Notre Dame, University of Arkansas",6.0,1.0,Sacramento Kings,1985,6-11,"Slater in Slater, Missouri",Joe Kleine,Center,Right,255lb,818017.9
1197,"January 3, 1985","Kaunas, Lithuania",0.8,43.5,33.5,76.3,409,12.4,8.7,3.6,13.6,50.2,University of Missouri,27.0,1.0,Portland Trail Blazers,2005,6-8,"Montrose Christian School in Rockville, Maryland",Linas Kleiza,Small Forward and Power Forward,Right,245lb,2694367.5
1198,"June 9, 1952","Braddock, Pennsylvania",2.3,50.7,28.4,82.7,821,18.2,16.9,5.3,63.9,50.9,University of Pittsburgh,21.0,2.0,Los Angeles Lakers,1974,6-6,"Braddock in Braddock, Pennsylvania",Billy Knight,Small Forward and Shooting Guard,Right,195lb,433000.0
1199,"December 2, 1991","Miami, Florida",4.0,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8.0,1.0,Detroit Pistons,2011,6-3,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,7127394.0
1200,"November 8, 1975","Livingston, New Jersey",6.1,41.2,13.4,78.9,729,14.9,7.3,2.4,32.6,41.4,Stanford University,16.0,1.0,Cleveland Cavaliers,1997,5-10,"Seton Hall Preparatory School in West Orange, New Jersey",Brevin Knight,Point Guard,Right,173lb,2963162.2
1201,"March 6, 1967","Detroit, Michigan",2.8,43.6,26.3,73.0,276,11.3,6.2,1.3,4.2,44.4,University of Dayton,31.0,2.0,Phoenix Suns,1990,6-1,"Saint Martin De Porres in Detroit, Michigan",Negele Knight,Point Guard,Right,175lb,431583.34
1202,"September 13, 1974","Salt Lake City, Utah",0.6,43.8,25.9,69.6,371,11.4,3.4,3.1,7.9,44.4,University of Connecticut,29.0,1.0,Chicago Bulls,1996,7-0,"Alta in Sandy, Utah",Travis Knight,Center,Right,235lb,2827812.5
1204,"May 17, 1963","Cedar Rapids, Iowa",1.0,47.0,22.6,59.7,784,9.8,4.5,4.9,29.2,47.3,Southern Methodist University,5.0,1.0,Atlanta Hawks,1985,7-0,"Center in Kansas City, Missouri",Jon Koncak,Center,Right,250lb,1527104.1
1205,"June 12, 1960","Warren, Michigan",0.7,49.3,27.3,81.2,118,14.2,3.7,2.7,3.5,49.8,University of Detroit Mercy,56.0,3.0,Atlanta Hawks,1982,6-9,"Fitzgerald in Warren, Michigan",Joe Kopicki,Power Forward,Right,240lb,80000.0
1207,"January 27, 1967","Lexington, Kentucky",0.3,36.9,26.3,59.6,89,6.2,1.9,1.1,0.0,39.8,Vanderbilt University,30.0,2.0,Milwaukee Bucks,1989,6-9,"Catholic in Lexington, Kentucky",Frank Kornet,Power Forward,Right,225lb,225000.0
1209,"March 17, 1981","Lakewood, California",1.7,44.3,42.9,87.8,1174,12.8,9.9,3.0,70.9,57.4,Creighton University,51.0,2.0,New Jersey Nets,2003,6-7,"Pella in Pella, Iowa",Kyle Korver,Small Forward and Shooting Guard and Power Forward,Right,212lb,4609830.5
1210,"February 24, 1989","Canton, Ohio",0.5,53.4,0.0,58.2,686,15.4,5.7,5.0,28.3,53.4,Ohio State University,23.0,1.0,Utah Jazz,2008,7-0,"GlenOak in Canton, Ohio",Kosta Koufos,Center,Right,245lb,3883929.2
1213,"September 23, 1964","Missoula, Montana",1.2,45.7,13.9,79.5,420,12.0,8.2,4.9,15.6,45.8,University of Montana,28.0,2.0,Chicago Bulls,1986,6-9,"Big Sky in Missoula, Montana",Larry Krystkowiak,Power Forward,Right,220lb,431750.0
1215,"May 24, 1954","Hicksville, New York",0.7,52.3,0.0,70.4,510,16.2,10.2,5.4,27.1,52.3,University of North Carolina,13.0,1.0,Washington Bullets,1976,6-9,"Brentwood in Brentwood, New York",Mitch Kupchak,Center and Power Forward,Right,230lb,1150000.0
1218,"July 24, 1995","Flint, Michigan",2.2,45.3,33.5,73.1,147,14.1,17.3,5.9,7.0,52.1,University of Utah,27.0,1.0,Brooklyn Nets,2017,6-9,"Rise Academy in Philadelphia, Pennsylvania",Kyle Kuzma,Power Forward,Right,220lb,1423560.0
1221,"March 18, 1996","Port-au-Prince, Haiti",1.0,48.0,37.5,74.6,115,14.9,7.6,4.3,3.0,49.9,University of Kentucky,28.0,1.0,Phoenix Suns,2016,6-11,"Lausanne Collegiate School in Memphis, Tennessee",Skal Labissiere,Power Forward,Right,235lb,1250725.5
1222,"August 17, 1969","Angola, New York",2.6,48.0,26.1,82.0,868,16.9,12.8,6.7,64.9,48.6,Duke University,3.0,1.0,Minnesota Timberwolves,1992,6-11,"Nichols School in Buffalo, New York",Christian Laettner,Center and Power Forward,Right,235lb,4391785.5
1223,"May 29, 1976","Hampton, Iowa",1.1,46.6,36.3,71.1,563,16.1,10.1,6.1,39.4,51.6,University of Kansas,3.0,1.0,Denver Nuggets,1998,6-11,"MFL MarMac in Monona, Iowa",Raef LaFrentz,Power Forward and Center,Left,240lb,7648640.0
1225,"November 6, 1991","Queens, New York",0.8,38.1,39.4,70.0,100,6.3,3.5,1.0,0.1,45.8,University of Kentucky,42.0,2.0,Milwaukee Bucks,2012,6-4,"Oak Hill Academy in Mouth of Wilson, Virginia",Doron Lamb,Shooting Guard,Right,210lb,719436.0
1226,"May 30, 1992","Henrico, Virginia",1.5,44.3,33.9,85.3,435,16.1,10.2,3.7,20.8,50.2,University of Connecticut,12.0,1.0,Houston Rockets,2012,6-5,"Norcross in Norcross, Georgia",Jeremy Lamb,Small Forward and Shooting Guard,Right,185lb,3813224.0
1227,"March 9, 1959","Minneapolis, Minnesota",0.9,47.0,22.2,84.1,291,11.5,5.1,1.5,5.2,47.4,University of Virginia,15.0,1.0,Portland Trail Blazers,1981,6-6,"Ballard in Louisville, Kentucky",Jeff Lamp,Small Forward,Right,195lb,83333.336
1229,"September 3, 1979","Harvey, Illinois",0.7,46.3,0.0,69.1,45,13.5,4.5,2.1,1.1,46.3,University of California,45.0,2.0,Chicago Bulls,2001,6-7,"Saint Francis DeSales in Chicago, Illinois",Sean Lampley,Small Forward,Right,227lb,219411.0
1230,"September 19, 1983","Milwaukee, Wisconsin",0.7,53.5,30.0,78.5,513,17.5,10.8,4.9,35.9,53.6,Purdue University,31.0,2.0,Seattle SuperSonics,2007,6-9,"Vincent in Milwaukee, Wisconsin",Carl Landry,Power Forward,Right,248lb,4792716.5
1232,"December 4, 1966","Akron, Ohio",1.5,44.1,6.3,37.9,218,12.6,5.3,5.8,2.3,44.2,University of Pittsburgh,23.0,1.0,Denver Nuggets,1988,6-6,"Saint Vincent-Saint Mary in Akron, Ohio",Jerome Lane,Power Forward,Right,230lb,391250.0
1233,"June 28, 1966","Pine Bluff, Arkansas",0.6,47.0,25.0,74.4,737,11.7,6.0,4.8,28.6,47.1,University of Arkansas,28.0,2.0,Phoenix Suns,1988,6-11,"Dollarway in Pine Bluff, Arkansas",Andrew Lang,Center,Right,245lb,1439818.1
1234,"May 15, 1972","Mobile, Alabama",0.3,45.5,0.0,71.9,143,8.8,2.3,1.5,1.7,45.5,Duke University,29.0,2.0,Phoenix Suns,1994,6-8,"LeFlore Magnet in Mobile, Alabama",Antonio Lang,Power Forward and Small Forward,Right,205lb,422666.66
1236,"May 13, 1976","Palo Alto, California",1.3,41.6,39.6,91.0,119,12.2,5.4,1.3,2.9,49.7,Duke University,11.0,1.0,Cleveland Cavaliers,1999,6-3,"Anchorage East in Anchorage, Alaska",Trajan Langdon,Shooting Guard,Right,197lb,1499760.0
1238,"November 28, 1977","Chicago, Illinois",0.3,39.1,28.9,61.3,133,8.8,3.0,1.5,0.3,40.3,Vanderbilt University,31.0,2.0,Dallas Mavericks,2000,6-11,"Marshall County in Benton, Kentucky",Dan Langhi,Small Forward,Right,220lb,394808.0
1240,"October 2, 1992","Cincinnati, Ohio",2.9,42.2,33.6,77.7,256,11.4,5.5,1.9,4.4,46.8,University of Miami,18.0,1.0,Atlanta Hawks,2013,5-11,"Dr. Phillips in Orlando, Florida",Shane Larkin,Point Guard,Right,175lb,1528605.5
1242,"December 17, 1982","Port-Gentil, Gabon",0.2,45.1,-,59.4,16,11.7,5.2,3.3,0.3,45.1,University of Massachusetts Amherst,46.0,2.0,Golden State Warriors,2007,6-8,"Leon Mba in Libreville, Gabon",Stephane Lasme,Power Forward and Small Forward,Right,215lb,48056.0
1243,"August 31, 1973","Chicago, Illinois",0.4,47.2,0.0,55.4,74,11.3,3.4,1.9,-0.8,47.2,Central State University,28.0,1.0,Atlanta Hawks,1996,7-4,"Carver in Chicago, Illinois",Priest Lauderdale,Center,Left,325lb,630066.7
1245,"March 10, 1995","Renton, Washington",3.5,44.6,37.3,82.4,293,14.8,16.1,3.4,8.0,50.6,"University of California, Los Angeles",13.0,1.0,Minnesota Timberwolves,2014,6-5,"Bothell in Bothell, Washington",Zach LaVine,Point Guard and Shooting Guard,Right,200lb,2411824.2
1246,"January 25, 1985","Dallas, Texas",1.6,41.3,23.5,77.8,188,9.9,3.9,1.0,1.6,43.4,Texas A&M University,11.0,1.0,Atlanta Hawks,2007,6-3,"Justin F. Kimball in Dallas, Texas",Acie Law,Point Guard,Right,195lb,1414801.4
1247,"November 7, 1988","College Park, Georgia",0.0,-,-,-,1,-9.1,0.0,0.0,0.0,-,Georgia Institute of Technology,46.0,2.0,Phoenix Suns,2010,6-9,"Norcross in Norcross, Georgia",Gani Lawal,Power Forward,Right,234lb,473640.0
1248,"September 2, 1974","Philadelphia, Pennsylvania",0.3,60.0,-,80.0,17,21.5,1.5,1.6,0.5,60.0,Villanova University,41.0,2.0,Denver Nuggets,1997,6-11,"Olney in Philadelphia, Pennsylvania",Jason Lawson,Center,Right,240lb,133625.0
1249,"November 3, 1987","Clinton, Maryland",6.0,46.0,35.9,77.0,551,17.2,12.7,2.7,42.1,50.4,University of North Carolina,18.0,1.0,Minnesota Timberwolves,2009,5-11,"Oak Hill Academy in Mouth of Wilson, Virginia",Ty Lawson,Point Guard,Right,195lb,4355955.5
1250,"March 7, 1994","Norwood, Massachusetts",0.5,45.7,30.2,71.4,141,11.5,4.6,1.8,2.7,52.5,University of Maryland,47.0,2.0,Orlando Magic,2016,6-9,"King Philip Regional in Wrentham, Massachusetts",Jake Layman,Small Forward,Right,215lb,956305.5
1251,"April 30, 1997","Tel Aviv, Israel",0.3,51.1,35.6,61.7,111,14.0,3.4,1.9,2.4,55.2,"University of California, Los Angeles",18.0,1.0,Indiana Pacers,2017,6-10,"Foothills Christian in El Cajon, California",T.J. Leaf,Power Forward,Right,225lb,2028360.0
1253,"May 27, 1966","Inglewood, California",0.5,50.8,0.0,66.9,449,9.8,4.1,3.2,6.2,50.8,University of Wyoming,17.0,1.0,Utah Jazz,1988,6-11,"Mira Costa in Manhattan Beach, California",Eric Leckner,Center,Right,265lb,375071.44
1255,"October 3, 1985","Indianapolis, Indiana",1.7,45.0,38.7,85.3,787,12.2,9.7,2.7,38.7,51.6,Western Kentucky University,22.0,1.0,Orlando Magic,2008,6-5,"Pike in Indianapolis, Indiana",Courtney Lee,Shooting Guard,Right,215lb,5041470.5
1257,"April 29, 1983","St. Louis, Missouri",2.2,53.5,3.4,77.2,829,19.1,13.5,8.8,76.0,53.6,University of Florida,30.0,1.0,New York Knicks,2005,6-9,"Chaminade College Preparatory School in St. Louis, Missouri",David Lee,Power Forward and Center and Small Forward,Left,245lb,7289046.0
1258,"October 24, 1964","Washington, Illinois",0.4,41.2,31.0,70.0,73,11.0,2.3,0.6,0.7,47.3,"Texas A&M University, Purdue University",35.0,2.0,Houston Rockets,1987,6-5,"Washington in Washington, Illinois",Doug Lee,Shooting Guard,Right,200lb,141666.67
1259,"December 28, 1962","West Memphis, Arkansas",1.0,45.1,16.7,74.6,182,12.2,6.1,4.7,3.7,45.2,University of Memphis,11.0,1.0,Chicago Bulls,1985,6-10,"West Memphis in West Memphis, Arkansas",Keith Lee,Power Forward,Right,215lb,318749.5
1261,"May 22, 1990","Riverside, California",1.4,38.2,29.4,70.3,36,9.5,3.9,1.8,0.4,41.9,"University of California, Los Angeles",43.0,2.0,Chicago Bulls,2011,6-5,"John W. North in Riverside, California",Malcolm Lee,Shooting Guard,Right,200lb,715496.0
1265,"May 14, 1973","Detroit, Michigan",2.1,41.5,38.4,78.7,565,13.8,11.9,2.8,29.6,49.4,University of Minnesota,46.0,2.0,Milwaukee Bucks,1994,6-4,"Southwestern in Detroit, Michigan",Voshon Lenard,Shooting Guard,Right,205lb,2558498.2
1266,"February 16, 1967","Belleville, Illinois",0.1,45.9,0.0,50.0,31,8.6,1.4,1.1,0.1,45.9,University of Missouri,34.0,2.0,Minnesota Timberwolves,1989,7-1,"East in Belleville, Illinois",Gary Leonard,Center,Right,250lb,165000.0
1267,"June 29, 1991","Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15.0,1.0,Indiana Pacers,2011,6-7,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,8768924.0
1268,"February 27, 1992","Robinson, Illinois",0.9,47.9,38.5,82.8,393,12.3,5.6,3.7,13.4,55.6,University of Illinois at Urbana-Champaign,11.0,1.0,Portland Trail Blazers,2012,7-1,"Robinson in Robinson, Illinois",Meyers Leonard,Power Forward and Center,Right,255lb,4810076.5
1270,"March 29, 1990","Atlanta, Georgia",0.5,35.7,-,44.4,10,14.6,1.4,0.9,0.1,35.7,University of Georgia,47.0,2.0,Los Angeles Clippers,2011,6-4,"Columbia in Decatur, Georgia",Travis Leslie,Shooting Guard,Right,205lb,361802.0
1271,"January 1, 1959","Canton, Mississippi",4.0,46.9,22.7,78.8,250,13.0,7.3,1.9,6.3,47.0,University of Iowa,10.0,1.0,Portland Trail Blazers,1980,6-2,"Dunbar in Chicago, Illinois",Ronnie Lester,Point Guard,Right,175lb,172000.0
1272,"May 14, 1989","Long Lake, Minnesota",0.8,48.4,32.8,76.7,377,14.5,6.4,3.8,13.2,51.5,University of Wisconsin,40.0,2.0,Milwaukee Bucks,2011,6-10,"Orono in Orono, Minnesota",Jon Leuer,Center and Power Forward,Right,228lb,4121262.5
1273,"August 18, 1960","Pine Bluff, Arkansas",6.2,44.7,31.0,77.1,752,17.8,13.9,6.0,61.2,45.5,Arizona State University,11.0,1.0,Portland Trail Blazers,1982,6-3,"Pueblo in Tucson, Arizona",Fat Lever,Point Guard and Shooting Guard,Right,170lb,1138388.9
1274,"August 25, 1994","Columbus, Ohio",3.4,43.7,32.9,70.7,168,13.8,11.1,3.6,5.8,49.7,University of Michigan,20.0,1.0,Indiana Pacers,2016,6-7,"Central in Pickerington, Ohio",Caris LeVert,Small Forward,Right,204lb,1597380.0
1275,"January 4, 1961","San Diego, California",0.9,51.6,15.2,67.6,830,13.8,7.1,5.2,44.2,51.6,Wichita State University,9.0,1.0,Detroit Pistons,1982,6-8,"Samuel F.B. Morse in San Diego, California",Cliff Levingston,Power Forward,Right,210lb,537500.0
1276,"April 28, 1975","Liberal, Kansas",0.3,47.3,30.0,59.3,25,11.2,3.6,1.4,0.1,49.3,"Butler County Community College, Seward County Community College",50.0,2.0,Golden State Warriors,1995,6-5,"Liberal in Liberal, Kansas",Martin Lewis,Small Forward,Right,210lb,200000.0
1277,"June 26, 1977","Little Rock, Arkansas",0.6,39.7,33.3,71.0,159,6.7,3.6,1.3,0.8,42.9,University of Minnesota,19.0,1.0,Utah Jazz,1999,6-7,"Parkview in Little Rock, Arkansas",Quincy Lewis,Shooting Guard and Small Forward,Right,215lb,800945.25
1280,"November 21, 1965","Baltimore, Maryland",2.6,48.8,20.0,82.4,450,17.1,17.6,4.3,38.9,49.0,Northeastern University,22.0,1.0,Boston Celtics,1987,6-7,"Paul Laurence Dunbar in Baltimore, Maryland",Reggie Lewis,Small Forward and Shooting Guard,Right,195lb,1487000.0
1281,"October 27, 1968","Chicago, Illinois",0.9,41.7,34.0,66.4,267,12.2,7.3,3.5,4.0,43.5,University of Illinois at Urbana-Champaign,42.0,2.0,Denver Nuggets,1990,6-8,"Martin Luther King in Chicago, Illinois",Marcus Liberty,Small Forward,Right,205lb,370000.0
1282,"January 8, 1967","Walnut Creek, California",1.4,46.0,24.4,78.9,237,12.2,7.9,2.1,5.6,46.6,Stanford University,15.0,1.0,Denver Nuggets,1989,6-4,"Mount Diablo in Concord, California",Todd Lichti,Shooting Guard,Right,205lb,492036.0
1283,"March 31, 1988","Chicago, Illinois",0.7,40.2,35.2,54.9,177,7.3,2.0,1.4,1.6,46.9,University of Kentucky,53.0,2.0,Orlando Magic,2011,6-6,"Findlay College Prep in Las Vegas, Nevada",DeAndre Liggins,Shooting Guard and Small Forward,Right,209lb,631678.8
1284,"July 15, 1990","Oakland, California",6.3,43.4,36.8,88.9,549,21.4,23.5,4.2,70.3,51.0,Weber State University,6.0,1.0,Portland Trail Blazers,2012,6-3,"Oakland in Oakland, California",Damian Lillard,Point Guard,Right,195lb,10721108.0
1286,"October 1, 1958","Dallas, Texas",1.0,51.2,11.1,59.7,953,12.9,6.6,6.3,36.6,51.2,Arizona State University,21.0,1.0,Milwaukee Bucks,1981,7-0,"Woodrow Wilson in Dallas, Texas",Alton Lister,Center and Power Forward,Right,240lb,761520.8
1287,"April 2, 1975","New Orleans, Louisiana",2.0,40.6,35.1,77.1,203,10.0,3.8,1.4,2.3,42.9,Louisiana State University,42.0,2.0,Houston Rockets,1996,6-4,"Isidore Newman School in New Orleans, Louisiana",Randy Livingston,Point Guard,Right,209lb,267840.0
1292,"September 29, 1964","New Ulm, Minnesota",1.1,44.0,36.1,73.3,656,12.3,5.9,2.8,15.2,49.6,University of Iowa,45.0,2.0,Boston Celtics,1987,6-11,"Greenway in Phoenix, Arizona",Brad Lohaus,Power Forward,Left,230lb,682250.0
1294,"March 12, 1966","Wayne, Michigan",1.7,46.7,28.3,76.1,1003,13.3,9.5,6.1,60.1,47.2,Eastern Michigan University,33.0,2.0,Miami Heat,1988,6-8,"Romulus in Romulus, Michigan",Grant Long,Power Forward,Right,225lb,1624048.9
1295,"August 28, 1956","Romulus, Michigan",1.9,46.7,32.2,86.2,893,14.2,13.6,2.8,32.0,47.2,University of Detroit Mercy,29.0,2.0,Detroit Pistons,1978,6-5,"Romulus in Romulus, Michigan",John Long,Shooting Guard,Right,195lb,293957.16
1297,"January 19, 1969","Melbourne, Australia",1.5,46.2,0.0,76.0,567,11.8,7.2,4.9,17.5,46.2,University of New Mexico,7.0,1.0,Minnesota Timberwolves,1991,7-2,"Scotch College in Perth, Australia",Luc Longley,Center,Right,265lb,3565408.2
1298,"February 6, 1996","Milwaukee, Wisconsin",1.0,59.5,19.2,59.3,204,15.9,4.5,3.8,10.3,59.9,"University of California, Los Angeles",30.0,1.0,Golden State Warriors,2015,6-9,"Hamilton in Milwaukee, Wisconsin",Kevon Looney,Center and Power Forward,Right,220lb,1262060.6
1299,"April 1, 1988","North Hollywood, California",1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Stanford University,10.0,1.0,New Jersey Nets,2008,7-0,"San Joaquin Memorial in Fresno, California",Brook Lopez,Center,Right,270lb,11770449.0
1300,"December 19, 1974","Santo Domingo, Dominican Republic",1.0,43.2,32.7,65.9,249,11.5,5.8,2.4,3.1,45.1,St. John's University,24.0,1.0,San Antonio Spurs,1998,6-5,"Rice in New York, New York",Felipe Lopez,Shooting Guard and Point Guard,Right,199lb,658601.25
1302,"April 1, 1988","North Hollywood, California",0.8,53.1,21.6,75.7,766,16.3,9.1,5.3,43.0,53.2,Stanford University,15.0,1.0,Phoenix Suns,2008,7-0,"San Joaquin Memorial in Fresno, California",Robin Lopez,Center,Right,275lb,6503519.5
1303,"September 7, 1988","Santa Monica, California",2.3,44.2,37.0,82.7,657,21.9,18.3,11.3,78.2,50.2,"University of California, Los Angeles",5.0,1.0,Memphis Grizzlies,2008,6-10,"Lake Oswego in Lake Oswego, Oregon",Kevin Love,Center and Power Forward,Right,251lb,12220244.0
1304,"March 25, 1986","Philadelphia, Pennsylvania",6.1,42.4,36.7,80.5,856,18.4,14.4,4.3,86.7,50.5,Villanova University,24.0,1.0,Memphis Grizzlies,2006,6-1,"Cardinal Dougherty in Philadelphia, Pennsylvania",Kyle Lowry,Point Guard,Right,196lb,7788468.5
1305,"October 31, 1953","Durham, North Carolina",7.0,44.9,30.3,77.6,928,15.9,10.7,2.3,53.7,46.3,University of Maryland,1.0,1.0,Houston Rockets,1976,6-3,"Hillside in Durham, North Carolina",John Lucas,Shooting Guard and Point Guard,Left,175lb,393666.66
1306,"February 18, 1952","Pittsburgh, Pennsylvania",2.4,47.1,14.3,76.5,1021,16.2,14.6,9.1,69.0,47.2,Marquette University,14.0,1.0,Chicago Bulls,1974,6-9,"Schenley in Pittsburgh, Pennsylvania",Maurice Lucas,Center and Power Forward,Right,215lb,506833.34
1308,"May 3, 1977","Mexico, Missouri",3.1,43.7,39.1,82.9,554,13.2,8.5,1.7,19.7,49.4,University of Nebraska,23.0,1.0,Denver Nuggets,1998,6-0,"Raytown in Kansas City, Missouri",Tyronn Lue,Point Guard,Right,175lb,1943870.9
1310,"April 9, 1996","Hudson, New York",0.2,50.0,40.0,33.3,26,9.1,0.9,0.7,0.2,61.1,Syracuse University,24.0,1.0,Utah Jazz,2017,6-10,"New Hampton in New Hampton, New Hampshire",Tyler Lydon,Power Forward,Right,225lb,1579440.0
1311,"November 5, 1995","Saskatoon, Canada",1.1,43.1,33.1,70.5,288,13.2,7.6,3.9,8.1,49.5,University of Kentucky,12.0,1.0,Utah Jazz,2015,6-10,"Arsenal Tech in Indianapolis, Indiana",Trey Lyles,Power Forward,Right,234lb,2340600.0
1312,"September 3, 1970","Roanoke, Virginia",1.4,44.6,30.6,65.2,774,12.8,6.6,5.0,32.3,46.2,University of North Carolina,12.0,1.0,Los Angeles Lakers,1993,6-8,"Flint Hill School in Oakton, Virginia",George Lynch,Small Forward and Shooting Guard,Right,218lb,2130384.5
1313,"December 24, 1968","Bloomington, Minnesota",1.1,43.6,33.3,72.6,95,7.7,3.3,1.3,0.4,44.1,University of Minnesota,28.0,2.0,Charlotte Hornets,1991,6-5,"Thomas Jefferson in Bloomington, Minnesota",Kevin Lynch,Shooting Guard,Right,195lb,287500.0
1315,"January 27, 1976","Winnipeg, Canada",0.5,54.1,-,64.2,223,16.9,6.1,4.0,11.9,54.1,University of Washington,47.0,2.0,Philadelphia 76ers,1999,7-0,"Shaftesbury in Winnipeg, Canada",Todd MacCulloch,Center,Right,280lb,3993339.2
1319,"April 22, 1990","Lexington, Kentucky",3.1,42.3,33.0,73.1,456,12.3,6.6,2.0,10.3,47.8,Butler University,34.0,2.0,Washington Wizards,2011,6-3,"Bryan Station in Lexington, Kentucky",Shelvin Mack,Shooting Guard and Point Guard,Right,203lb,1851852.5
1320,"July 11, 1970","Chattanooga, Tennessee",0.0,37.8,0.0,50.0,22,12.6,1.5,1.1,0.1,37.8,Georgia Institute of Technology,27.0,1.0,Phoenix Suns,1993,6-9,"Brainerd in Chattanooga, Tennessee",Malcolm Mackey,Center,Right,248lb,550000.0
1321,"September 20, 1986","Portsmouth, Virginia",0.2,54.3,-,57.1,23,18.2,2.0,1.5,0.5,54.3,"Georgetown University, University of Florida",52.0,2.0,Detroit Pistons,2011,6-10,"Hargrave Military Academy in Chatham, Virginia",Vernon Macklin,Center,Right,227lb,473604.0
1322,"January 16, 1970","Palo Alto, California",1.3,45.5,28.4,76.5,319,15.1,10.9,3.8,9.4,46.5,"University of California, Los Angeles",19.0,1.0,Detroit Pistons,1992,6-10,"Simi Valley in Simi Valley, California",Don MacLean,Power Forward and Small Forward,Right,235lb,1457577.2
1323,"April 14, 1969","Saginaw, Michigan",1.7,38.4,27.0,73.5,251,8.9,6.7,1.9,0.1,39.4,Temple University,8.0,1.0,Denver Nuggets,1991,6-5,"Buena Vista in Saginaw, Michigan",Mark Macon,Shooting Guard and Point Guard,Right,185lb,1500200.0
1324,"April 9, 1957","Fort Wayne, Indiana",4.0,50.1,33.7,87.3,551,14.0,9.5,2.2,36.0,52.3,"Purdue University, University of Kentucky",22.0,1.0,Phoenix Suns,1979,6-3,"Peru in Peru, Indiana",Kyle Macy,Point Guard,Right,175lb,305000.0
1325,"June 7, 1981","Compton, California",0.6,25.0,0.0,62.5,9,11.2,1.2,0.8,0.0,25.0,"California State University, Fresno",38.0,2.0,Houston Rockets,2002,6-4,"Compton in Compton, California",Tito Maddox,Shooting Guard,Right,190lb,349458.0
1327,"January 28, 1976","Walnut Creek, California",0.4,45.7,6.3,52.7,453,8.1,2.2,2.6,8.2,45.7,Stanford University,29.0,1.0,Los Angeles Lakers,2000,6-9,"San Ramon Valley in Danville, California",Mark Madsen,Center and Power Forward,Right,240lb,1578872.5
1328,"November 12, 1979","Melrose Park, Illinois",2.1,45.3,32.4,82.2,827,17.9,16.0,4.9,62.2,47.9,Duke University,13.0,1.0,Seattle SuperSonics,1999,6-6,"Fenwick in Oak Park, Illinois",Corey Maggette,Power Forward and Shooting Guard and Small Forward,Right,218lb,6366537.5
1329,"May 21, 1978","Toronto, Canada",0.6,48.0,0.0,63.9,680,13.5,7.2,6.5,27.7,48.0,University of Kentucky,19.0,1.0,Charlotte Hornets,2000,6-11,"Eastern School of Commerce in Toronto, Canada",Jamaal Magloire,Center,Right,259lb,3276969.2
1331,"September 21, 1958","Hartford, Connecticut",1.0,49.3,13.2,70.4,1117,11.6,6.9,6.2,51.7,49.3,Hampton University,35.0,2.0,Washington Bullets,1980,6-10,"Weaver in Hartford, Connecticut",Rick Mahorn,Power Forward and Center,Right,240lb,608357.1
